sr_no,date,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd
1675,04-05-2016,SolarTown,Solar Rooftop system installation company,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,200000.0
1676,04-05-2016,Comarete,Telecom & Media IT services company,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,200000.0
1677,04-05-2016,MyDentistChoice,Medical Supplies eTailer,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,150000.0
1678,04-05-2016,Active.ai,Intelligent Tech platform for Finance vertical,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,500000.0
1679,04-05-2016,Affordplan,Affordable non-emergency medical service health plans,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000.0
1680,04-05-2016,Indee,Web Video Streaming Platform,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,500000.0
1681,05-05-2016,Unbxd,eCommerce product discovery software,eCommerce product discovery software,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,5925000.0
1682,05-05-2016,WebAlligator,Cloud Based Software Solutions,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,375000.0
1683,06-05-2016,EduAce Services,Education Workshops & mentoring programs,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,1000000.0
1684,06-05-2016,Meesho,Social commerce platform,Social commerce platform,Bangalore,Rajul Garg & Others,Seed Funding,324500.0
1685,07-05-2016,Zebroads,Logistics and Warehousing services,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,75000.0
1686,09-05-2016,Locus,Logistics Intelligence platform,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,2750000.0
1687,09-05-2016,Toko Innovations,Children\\xe2\\x80\\x99s Entertainment Portal,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,450000.0
1688,09-05-2016,Rentickle,"Furniture, appliances Portal","Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,250000.0
1689,10-05-2016,HealthifyMe,Health & Fitness App,Health & Fitness App,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,6000000.0
1690,10-05-2016,Zarget,Conversion Rate Optimization Platform,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,1500000.0
1691,10-05-2016,InnoNano Research,Clean Water Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,18000000.0
1692,10-05-2016,SchoolWear,School Uniform & Supplies Marketplace,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,1500000.0
1693,10-05-2016,Swiggy,Food Delivery Platform,Food Delivery Platform,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,7000000.0
1694,11-05-2016,Zenify,Home rental Discovery & Booking Portal,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,900000.0
1695,11-05-2016,Faircent,Online Peer to Peer Lending platform,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,5925000.0
1696,11-05-2016,Fractal Analytics,Data Analytics Company,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.0
1697,12-05-2016,Unacademy,Free Online Education Platform,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000.0
1698,12-05-2016,Capital Float,Online Lending Platform,Online Lending Platform,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000.0
1699,12-05-2016,Life Circle,Senior Healthcare Services,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,150000.0
1700,12-05-2016,Dream Wallets,Online Crowdfunding platform,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,324500.0
1701,12-05-2016,ShabdNagari,Hindi social networking portal,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,324500.0
1702,12-05-2016,Galleri5,Visual Content Discovery platform,Visual Content Discovery platform,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,324500.0
1703,12-05-2016,Derbii,Carpooling Services,Carpooling Services,Gurgaon,Anurag Chauhan,Seed Funding,324500.0
1704,13-05-2016,StayZilla,Budget Room Aggregator Booking platform,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,13500000.0
1705,13-05-2016,WoW Express,E-Commerce Logistics Solutions,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,2200000.0
1706,16-05-2016,Smartivity,Smart Learning products,Smart Learning products,Delhi,"S Chand, AdvantEdge Partners",Private Equity,1000000.0
1707,16-05-2016,BedBathMore,Home Decor eMarketplace,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,5925000.0
1708,17-05-2016,Murgency,Medical Emergency Response App,Medical Emergency Response App,Mumbai,Rata Tata,Private Equity,5925000.0
1709,17-05-2016,Crownit,Mobile customer rewards management platform,Mobile customer rewards management platform,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,5925000.0
1710,17-05-2016,Blinge,Apparel Rental platform,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,324500.0
1711,18-05-2016,TheSmartQ,Food Ordering Mobile App,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,250000.0
1712,18-05-2016,PurpleHealth,Online health-on-demand platform,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,100000.0
1713,18-05-2016,Fundamentor,Aptitude Development Program,Aptitude Development Program,Pune,Subramanya SV,Seed Funding,324500.0
1714,18-05-2016,EduPristine,Online Certification Courses,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,10000000.0
1715,18-05-2016,BhiveWorkspace,Co-Working Spaces,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,1000000.0
1716,18-05-2016,Parentlane,Parenting & Child Care app,Parenting & Child Care app,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,324500.0
1717,19-05-2016,Appie,Location-based offline retail discovery platform,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,1000000.0
1718,19-05-2016,Niki.ai,Artificial Intelligence Platform,Artificial Intelligence Platform,Bangalore,Ratan Tata,Private Equity,5925000.0
1719,19-05-2016,TaxiVaxi,Cab Aggregating Platform,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,500000.0
1720,19-05-2016,Veqta,On Demand Digital Sports Network,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,500000.0
1721,20-05-2016,i2ifunding,Online Peer to Peer Funding,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,300000.0
1722,23-05-2016,EduRev,Online Learning Platform,Online Learning Platform,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,324500.0
1723,23-05-2016,Hoppingo,Fashion Discovery platform,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,89000.0
1724,24-05-2016,Eatonomist,Food Delivery Platform,Food Delivery Platform,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,324500.0
1725,24-05-2016,Goalwise,Online investment platform,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,1000000.0
1726,25-05-2016,Roast,Mobile entertainment App,Mobile entertainment App,New Delhi,Indian Angel Network,Seed Funding,324500.0
1727,25-05-2016,Address Health,Pediatric Primary Healthcare Network,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,1500000.0
1728,25-05-2016,Arcatron Mobility,Mobility Devices for differently abled,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,100000.0
1729,25-05-2016,SheThePeople,Digital platform for Women,Digital platform for Women,New Delhi,Anand Mahindra,Seed Funding,324500.0
1730,26-05-2016,Cleartax,Online Income Tax Filing platform,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,2000000.0
1731,26-05-2016,Consure Medical,Medical Devices Kit manufacturer,Medical Devices Kit manufacturer,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,5925000.0
1732,26-05-2016,mChamp,Celebrity Entertainment Contest App,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,475000.0
1733,27-05-2016,Pianta,Online healthcare service discovery platform,Online healthcare service discovery platform,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,324500.0
1734,30-05-2016,Vahanalytics,Safe driving Analytics platform,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,200000.0
1735,31-05-2016,Play Your Sport,Location based Sports & Fitness Discovery App,Location based Sports & Fitness Discovery App,New Delhi,Ashish Gupta and other undisclosed investors,Seed Funding,324500.0
1736,31-05-2016,Koovs,Apparel & Lifestyle eTailer,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,4400000.0
1737,31-05-2016,CCavenue,Payment Gateway,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,8900000.0
1738,31-05-2016,1mg,Online Pharmacy,Online Pharmacy,Gurgaon,HBM Healthcare Investments,Private Equity,5925000.0
1739,31-05-2016,Tpot,QSR Chain,QSR Chain,Gurgaon,Ashish Gupta,Seed Funding,324500.0
1740,31-05-2016,MachaDalo,Hyperlocal Advertising Platform,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,175000.0
1741,01-04-2016,Dil Mil,Matchmaking Mobile App,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,2700000.0
1742,01-04-2016,PicsDream,Online Marketplace for Photographers,Online Marketplace for Photographers,Delhi,Raman Roy,Seed Funding,324500.0
1743,01-04-2016,Process 9,online translation and transliteration,online translation and transliteration,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,324500.0
1744,04-04-2016,Housing,Real Estate Portal,Real Estate Portal,Mumbai,Vineet Singh,Private Equity,5925000.0
1745,04-04-2016,Roll Mafia,Rolls & Biryanis QSR chain,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,324500.0
1746,04-04-2016,Hungama,Digital Media Entertainment Portal,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,25000000.0
1747,04-04-2016,Highway Delite,Various Highway Help Services,Various Highway Help Services,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,324500.0
1748,05-04-2016,Cult Fitness,Healthcare training programs,Healthcare training programs,Bangalore,Mukesh Bansal,Seed Funding,324500.0
1749,05-04-2016,Haptik,Personal Assistant App,Personal Assistant App,Mumbai,Times Internet Ltd,Private Equity,5925000.0
1750,05-04-2016,Servify,Gadget & Appliances Service App,Gadget & Appliances Service App,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,5925000.0
1751,06-04-2016,Shipsy,Logistics Solutions,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,1000000.0
1752,06-04-2016,gear6,Online bike service and repairs platform,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,500000.0
1753,06-04-2016,MyGlamm,Mobile based on-demand Beauty Services platform,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,6000000.0
1754,06-04-2016,Petoo,Online Food Delivery Platform,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,1000000.0
1755,07-04-2016,Truly Social,Mobile Gaming Studio,Mobile Gaming Studio,London,Nazara Technologies Pvt Ltd,Private Equity,5925000.0
1756,08-04-2016,Little Black Book,"Curated Food, event & Lifestyle guide","Curated Food, event & Lifestyle guide",New Delhi,"IDG, Indian Angel Network",Seed Funding,324500.0
1757,08-04-2016,Vahan,Mobile Education Platform,Mobile Education Platform,Chennai,Villgro,Seed Funding,324500.0
1758,08-04-2016,imedilane,Online Health Diagnosis platform,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,40000.0
1759,11-04-2016,Living Local,Social discovery platform,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,200000.0
1760,11-04-2016,Vegfru,Online Fruit & Vegetable Marketplace,Online Fruit & Vegetable Marketplace,New Delhi,Wingify,Seed Funding,324500.0
1761,11-04-2016,Oyo,Online Branded Budget Room Booking Service,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,100000000.0
1762,11-04-2016,PriceRaja,Price Comparison Portal,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,300000.0
1763,12-04-2016,MagicX,On-Demand Task Management App,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,1000000.0
1764,12-04-2016,Happydemic,Artist Discovery & Booking platform,Artist Discovery & Booking platform,Mumbai,Shaan,Seed Funding,324500.0
1765,12-04-2016,LenDenClub,Peer-to-Peer Lending Platform,Peer-to-Peer Lending Platform,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed Funding,324500.0
1766,12-04-2016,Indi.com,Video Social Network,Video Social Network,Unknown,Anil Kapoor,Seed Funding,324500.0
1767,13-04-2016,Legalraasta,Online legal Services for Startups,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,1000000.0
1768,13-04-2016,RainCan,Subscription-based grocery delivery Mobile App,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,150000.0
1769,13-04-2016,Hippily,Fashion ECommerce App,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,250000.0
1770,13-04-2016,kredX,Invoice discounting\\xc2\\xa0 Marketplace,Invoice discounting\\xc2\\xa0 Marketplace,Bangalore,"Prime Venture Partners,",Seed Funding,750000.0
1771,14-04-2016,Wedwise,Wedding related services community,Wedding related services community,New Delhi,StartUp Equity Partners,Seed Funding,324500.0
1772,14-04-2016,BeaconsTalk,contextual mobile advertising,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,100000.0
1773,15-04-2016,Deal 4Loans,Loan Comparison Portal,Loan Comparison Portal,Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha",Seed Funding,324500.0
1774,15-04-2016,RenewBuy,Online Car & Bike Insurance Comparison portal,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Seed Funding,1000000.0
1775,15-04-2016,Blue Box Media,Online Tech Portals,Online Tech Portals,Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari",Seed Funding,324500.0
1776,15-04-2016,Vyomo,On-Demand Beauty Service provider,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private Equity,15000000.0
1777,15-04-2016,Organicshop,Marketplace for organic products,Marketplace for organic products,Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain",Seed Funding,324500.0
1778,15-04-2016,MInd Your Fleet,Car Rental Software,Car Rental Software,Noida,Undisclosed Investors,Seed Funding,324500.0
1779,15-04-2016,NestAway,Furnished Home Rental Platform,Furnished Home Rental Platform,Bangalore,Tiger Global,Private Equity,30000000.0
1780,15-04-2016,Tapchief,Expert Advice Platform,Expert Advice Platform,Bangalore,Vijay Shekhar Sharma,Seed Funding,150000.0
1781,18-04-2016,Rapido,Bike Aggregator App,Bike Aggregator App,Bangalore,"Pawan Munjal, AdvantEdge Partners, Astarc Ventures",Private Equity,5925000.0
1782,18-04-2016,Yufta,Women\\xe2\\x80\\x99s Fashion ECommerce Portal,Women\\xe2\\x80\\x99s Fashion ECommerce Portal,Bangalore,Ajay Data & other HNIs,Seed Funding,324500.0
1783,18-04-2016,Smytten,Online Discovery and Shopping Platform,Online Discovery and Shopping Platform,Gurgaon,Rajan Anandan,Seed Funding,324500.0
1784,18-04-2016,Houssup,interior design and home furnishing portal,interior design and home furnishing portal,Jaipur,"Mitin Patel, Gaurav Agarwal",Seed Funding,324500.0
1785,18-04-2016,Jugnoo,On-demand Delivery & Logistics platform,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private Equity,10000000.0
1786,18-04-2016,Tork Motocycles,Electric Motorcycle Manufacturer,Electric Motorcycle Manufacturer,Pune,"Bhavish Aggarwal, Ankit Bhati",Seed Funding,324500.0
